! Data estimated from:

! Krysiak K et al 2017 Blood 129:473-483, Fig. 1, p. 475.

! These numbers are a subset of the original data. The last two columns contain
! labels for the y and y2 axes. The labels in the last column are quoted because
! they contain spaces.

1	0.08182	0.16364	0.08182	0.45455	0.16364	0.05455 LYM145-Naive	"n = 110"
2	0.10784	0.12745	0.14706	0.44118	0.09804	0.07843 LYM023-Naive	"n = 109"
3	0.16842	0.13684	0.05263	0.44211	0.05263	0.14737 LYM045-Naive	"n = 99"
4	0.11290	0.14516	0.16129	0.38710	0.09677	0.09677 LYM238-Sorted	"n = 67"
5	0.11864	0.13559	0.16949	0.40678	0.06780	0.10169 LYM238-Naive	"n = 63"
6	0.07547	0.15094	0.09434	0.49057	0.07547	0.11321 LYM058-Naive	"n = 56"
7	0.04000	0.16000	0.10000	0.52000	0.08000	0.10000 LYM125-Naive	"n = 54"
8	0.10000	0.12500	0.10000	0.45000	0.10000	0.12500 LYM100-Naive	"n = 41"
9	0.00000	0.09091	0.04545	0.54545	0.04545	0.27273 LYM088-Naive	"n = 24"
10	0.06667	0.13333	0.06667	0.60000	0.00000	0.13333 LYM167-Naive	"n = 16"
11	0.15000	0.20000	0.00000	0.45000	0.05000	0.15000 LYM153-Naive	"n = 21"
12	0.00000	0.00000	0.00000	0.40000	0.00000	0.60000 LYM002-Naive	"n = 6"
13	0.00000	0.50000	0.00000	0.50000	0.00000	0.00000 LYM005-Naive	"n = 2"
14	0.15789	0.21053	0.13158	0.39474	0.05263	0.05263 LYM120-Naive	"n = 41"
