49.4186 0 1 105
0 320 2 110
143.314 0 3 115
708.333 0 2 110
266.86 600 2 110
0 570 1 105
128.488 600 1 105
454.651 600 1 105
770.93 0 0 100
850 100 0 100
850 330 0 100
168.023 0 4 120
286.628 0 3 115
504.07 0 3 115
425 0 2 110
306.395 0 3 115
276.744 30 5 125
266.86 33.3333 6 130
256.977 43.3333 7 135
247.093 60 8 140
266.86 90 9 145
256.977 105 10 150
266.86 130 11 155
256.977 140 12 160
266.86 156.667 13 165
256.977 167.5 14 170
266.86 185 15 175
256.977 200 16 180
232.267 220 17 185
217.442 240 18 190
271.802 280 13 165
276.744 290 12 160
286.628 303.333 11 155
286.628 317.5 10 150
336.047 360 14 170
365.698 280 16 180
454.651 240 14 170
187.791 300 19 195
