! Values obtained from the R dataset, 'faithful'.

79	3.6
54	1.8
74	3.333
62	2.283
85	4.533
55	2.883
88	4.7
85	3.6
51	1.95
85	4.35
54	1.833
84	3.917
78	4.2
47	1.75
83	4.7
52	2.167
62	1.75
84	4.8
52	1.6
79	4.25
51	1.8
47	1.75
78	3.45
69	3.067
74	4.533
83	3.6
55	1.967
76	4.083
78	3.85
79	4.433
73	4.3
77	4.467
66	3.367
80	4.033
74	3.833
52	2.017
48	1.867
80	4.833
59	1.833
90	4.783
80	4.35
58	1.883
84	4.567
58	1.75
73	4.533
83	3.317
64	3.833
53	2.1
82	4.633
59	2
75	4.8
90	4.716
54	1.833
80	4.833
54	1.733
83	4.883
71	3.717
64	1.667
77	4.567
81	4.317
59	2.233
84	4.5
48	1.75
82	4.8
60	1.817
92	4.4
78	4.167
78	4.7
65	2.067
73	4.7
82	4.033
56	1.967
79	4.5
71	4
62	1.983
76	5.067
60	2.017
78	4.567
76	3.883
83	3.6
75	4.133
82	4.333
70	4.1
65	2.633
73	4.067
88	4.933
76	3.95
80	4.517
48	2.167
86	4
60	2.2
90	4.333
50	1.867
78	4.817
63	1.833
72	4.3
84	4.667
75	3.75
51	1.867
82	4.9
62	2.483
88	4.367
49	2.1
83	4.5
81	4.05
47	1.867
84	4.7
52	1.783
86	4.85
81	3.683
75	4.733
59	2.3
89	4.9
79	4.417
59	1.7
81	4.633
50	2.317
85	4.6
59	1.817
87	4.417
53	2.617
69	4.067
77	4.25
56	1.967
88	4.6
81	3.767
45	1.917
82	4.5
55	2.267
90	4.65
45	1.867
83	4.167
56	2.8
89	4.333
46	1.833
82	4.383
51	1.883
86	4.933
53	2.033
79	3.733
81	4.233
60	2.233
82	4.533
77	4.817
76	4.333
59	1.983
80	4.633
49	2.017
96	5.1
53	1.8
77	5.033
77	4
65	2.4
81	4.6
71	3.567
70	4
81	4.5
93	4.083
53	1.8
89	3.967
45	2.2
86	4.15
58	2
78	3.833
66	3.5
76	4.583
63	2.367
88	5
52	1.933
93	4.617
49	1.917
57	2.083
77	4.583
68	3.333
81	4.167
81	4.333
73	4.5
50	2.417
85	4
74	4.167
55	1.883
77	4.583
83	4.25
83	3.767
51	2.033
78	4.433
84	4.083
46	1.833
83	4.417
55	2.183
81	4.8
57	1.833
76	4.8
84	4.1
77	3.966
81	4.233
87	3.5
77	4.366
51	2.25
78	4.667
60	2.1
82	4.35
91	4.133
53	1.867
78	4.6
46	1.783
77	4.367
84	3.85
49	1.933
83	4.5
71	2.383
80	4.7
49	1.867
75	3.833
64	3.417
76	4.233
53	2.4
94	4.8
55	2
76	4.15
50	1.867
82	4.267
54	1.75
75	4.483
78	4
79	4.117
78	4.083
78	4.267
70	3.917
79	4.55
70	4.083
54	2.417
86	4.183
50	2.217
90	4.45
54	1.883
54	1.85
77	4.283
79	3.95
64	2.333
75	4.15
47	2.35
86	4.933
63	2.9
85	4.583
82	3.833
57	2.083
82	4.367
67	2.133
74	4.35
54	2.2
83	4.45
73	3.567
73	4.5
88	4.15
80	3.817
71	3.917
83	4.45
56	2
79	4.283
78	4.767
84	4.533
58	1.85
83	4.25
43	1.983
60	2.25
75	4.75
81	4.117
46	2.15
90	4.417
46	1.817
74	4.467
